Thickness,Temp1In,Temp1Out,Temp2In,Temp2Out,Fluid1,Fluid2,Q,Qr,Lmtd,Theta1,Theta2,m1,m2,dP1,dP2,V1In,V2In,A,M,Ae,Me,NP
0.39999998,60,68,74,60.186756,43,18,700.8244,350.4122,1.6754259,4.7749052,8.2446165,44.236,25.23,62.07135,73.671394,0.51999909,0.29660961,859.5,0,850.5,0.011724919,573
0.39999998,63,74,79,63.309875,36,44,981.76422,245.44106,1.6864748,6.522481,9.303504,44.749001,31.242001,66.900055,33.899837,0.73300302,0.51315016,349.67999,0,348.44,0.004514142,564
0.39999998,66,54,50,65.494469,16,44,490.88562,163.62854,1.6894226,7.1030183,9.1714582,19.541,16.158001,67.906731,59.409897,0.40955344,0.35125414,269.07999,1,267.84,1.0352415,434
0.39999998,31,19,15,30.494276,2001,37,1200.2797,240.05592,1.6896406,7.1021018,9.1701603,25.646999,41.855,1.9587015,14.998575,0.0949957,0.19270998,868.5,0,865.5,0.003417453,579
0.39999998,63,58,51,62.877762,17,18,400.67679,100.16919,1.6991802,2.9425955,6.9902897,38.279999,17.084,70.887192,53.175068,1.3538779,0.62245691,274,2,273,2.0053263,548
0.39999998,61,53,50,60.131245,16,22,665.78497,133.157,1.7197081,4.6519523,5.8912582,39.755001,31.392,2.1169741,24.785919,0.17997383,0.14211389,802.5,0,799.5,0.001163433,535
0.39999998,24,18,15,23.13117,2,140,1188.752,1188.752,1.719767,3.4888449,4.728065,47.202,35.949001,38.057743,22.910635,2.6883662,2.0419219,220.72,29.999998,219.48,30.273252,356
0.39999998,74,83,88,74.332565,16,16,695.14288,231.71428,1.7220738,5.2262568,7.936614,36.896,24.296,48.979069,30.223116,0.77329123,0.5092119,353.39999,0,352.16,-0.002305319,570
0.39999998,77,83,88,77.337227,22,23,45.870586,45.870583,1.7292348,3.4697428,6.1661801,3.652,2.0550001,18.708635,2.5180829,0.51665229,0.29072303,206.5,0,205.5,0.000106842,413
0.39999998,60,54,50,59.452587,20,43,613.39978,68.155533,1.7359748,3.4562714,5.445118,48.835999,33.257,32.050381,3.3712344,0.76765329,0.54041445,266,0,265,-0.000755187,532
0.39999998,69,60,57,68.10685,36,44,740.90942,185.22736,1.7388805,5.1757436,6.3873563,41.536999,33.762001,69.121361,43.915733,0.67852831,0.55124909,322.39999,29,321.16,29.200417,520
0.39999998,59,53,50,58.098877,16,17,589.49731,147.37431,1.7451003,3.4381979,4.6409235,46.932999,34.77,87.588463,75.137314,0.73774004,0.5465498,298.84,22,297.60001,22.513426,482
0.39999998,62,57,51,61.779613,17,43,490.0022,245.00108,1.7492079,2.8584368,6.1625686,46.813999,23.233999,96.927399,35.862553,1.4717389,0.75606281,370.75998,0,369.51999,0.004785425,598
0.39999998,49,43,36,48.861435,43,44,467.45718,116.8643,1.7493283,3.429888,7.3522134,40.497002,19.003,22.707506,10.198162,0.6542365,0.3069731,314.34,0,313.10001,2.87E-05,507
